 time            d4              h4              c4              p4             
 0.00000000e+00 -3.53057227e-01 -9.10382880e-15  8.99028723e-01  1.24189374e-03 
 5.00000000e-11 -3.53057227e-01 -9.21485110e-15  8.99028723e-01  1.24189374e-03 
 1.00000000e-10 -3.53057227e-01 -9.32587341e-15  8.99028723e-01  1.24189374e-03 
 2.00000000e-10 -3.53057227e-01 -9.43689571e-15  8.99028723e-01  1.24189374e-03 
 4.00000000e-10 -3.53057227e-01 -9.65894031e-15  8.99028723e-01  1.24189374e-03 
 8.00000000e-10 -3.53057227e-01 -1.01030295e-14  8.99028723e-01  1.24189374e-03 
 1.60000000e-09 -3.53057227e-01 -1.01030295e-14  8.99028723e-01  1.24189374e-03 
 3.20000000e-09 -3.53057227e-01 -9.99200722e-15  8.99028723e-01  1.24189374e-03 
 6.40000000e-09 -3.53057227e-01 -9.65894031e-15  8.99028723e-01  1.24189374e-03 
 1.14000000e-08 -3.53057227e-01 -9.10382880e-15  8.99028723e-01  1.24189374e-03 
 1.64000000e-08 -3.53057227e-01 -8.43769499e-15  8.99028723e-01  1.24189374e-03 
 2.14000000e-08 -3.53057227e-01 -7.66053887e-15  8.99028723e-01  1.24189374e-03 
 2.64000000e-08 -3.53057227e-01 -6.77236045e-15  8.99028723e-01  1.24189374e-03 
 3.14000000e-08 -3.53057227e-01 -5.99520433e-15  8.99028723e-01  1.24189374e-03 
 3.64000000e-08 -3.53057227e-01 -5.10702591e-15  8.99028723e-01  1.24189374e-03 
 4.14000000e-08 -3.53057227e-01 -4.21884749e-15  8.99028723e-01  1.24189374e-03 
 4.64000000e-08 -3.53057227e-01 -3.44169138e-15  8.99028723e-01  1.24189374e-03 
 5.14000000e-08 -3.53057227e-01 -2.55351296e-15  8.99028723e-01  1.24189374e-03 
 5.64000000e-08 -3.53057227e-01 -1.55431223e-15  8.99028723e-01  1.24189374e-03 
 6.14000000e-08 -3.53057227e-01 -6.66133815e-16  8.99028723e-01  1.24189374e-03 
 6.64000000e-08 -3.53057227e-01  2.22044605e-16  8.99028723e-01  1.24189374e-03 
 7.14000000e-08 -3.53057227e-01  9.99200722e-16  8.99028723e-01  1.24189374e-03 
 7.64000000e-08 -3.53057228e-01  1.88737914e-15  8.99028723e-01  1.24189374e-03 
 8.14000000e-08 -3.53057227e-01  2.99760217e-15  8.99028723e-01  1.24189374e-03 
 8.64000000e-08 -3.53057227e-01  3.88578059e-15  8.99028723e-01  1.24189374e-03 
 9.14000000e-08 -3.53057227e-01  4.55191440e-15  8.99028723e-01  1.24189374e-03 
