 time            d8              h8              c8              p8             
 0.00000000e+00 -3.75642254e-01  1.96509475e-14  9.89572472e-01  1.23109091e-03 
 5.00000000e-11 -3.75642254e-01  1.95399252e-14  9.89572472e-01  1.23109091e-03 
 1.00000000e-10 -3.75642254e-01  1.94289029e-14  9.89572472e-01  1.23109091e-03 
 2.00000000e-10 -3.75642254e-01  1.93178806e-14  9.89572472e-01  1.23109091e-03 
 4.00000000e-10 -3.75642254e-01  1.92068583e-14  9.89572472e-01  1.23109091e-03 
 8.00000000e-10 -3.75642254e-01  1.88737914e-14  9.89572472e-01  1.23109091e-03 
 1.60000000e-09 -3.75642254e-01  1.87627691e-14  9.89572472e-01  1.23109091e-03 
 3.20000000e-09 -3.75642254e-01  1.89848137e-14  9.89572472e-01  1.23109091e-03 
 6.40000000e-09 -3.75642254e-01  1.88737914e-14  9.89572472e-01  1.23109091e-03 
 1.14000000e-08 -3.75642254e-01  1.79856130e-14  9.89572472e-01  1.23109091e-03 
 1.64000000e-08 -3.75642254e-01  1.66533454e-14  9.89572472e-01  1.23109091e-03 
 2.14000000e-08 -3.75642254e-01  1.55431223e-14  9.89572472e-01  1.23109091e-03 
 2.64000000e-08 -3.75642254e-01  1.45439216e-14  9.89572472e-01  1.23109091e-03 
 3.14000000e-08 -3.75642254e-01  1.36557432e-14  9.89572472e-01  1.23109091e-03 
 3.64000000e-08 -3.75642254e-01  1.29896094e-14  9.89572472e-01  1.23109091e-03 
 4.14000000e-08 -3.75642254e-01  1.18793864e-14  9.89572472e-01  1.23109091e-03 
 4.64000000e-08 -3.75642254e-01  1.04360964e-14  9.89572472e-01  1.23109091e-03 
 5.14000000e-08 -3.75642254e-01  9.21485110e-15  9.89572472e-01  1.23109091e-03 
 5.64000000e-08 -3.75642254e-01  7.66053887e-15  9.89572472e-01  1.23109091e-03 
 6.14000000e-08 -3.75642254e-01  6.32827124e-15  9.89572472e-01  1.23109091e-03 
 6.64000000e-08 -3.75642254e-01  5.55111512e-15  9.89572472e-01  1.23109091e-03 
 7.14000000e-08 -3.75642254e-01  4.55191440e-15  9.89572472e-01  1.23109091e-03 
 7.64000000e-08 -3.75642254e-01  3.21964677e-15  9.89572472e-01  1.23109091e-03 
 8.14000000e-08 -3.75642254e-01  1.99840144e-15  9.89572472e-01  1.23109091e-03 
 8.64000000e-08 -3.75642254e-01  7.77156117e-16  9.89572472e-01  1.23109091e-03 
 9.14000000e-08 -3.75642254e-01 -4.44089210e-16  9.89572472e-01  1.23109091e-03 
 9.64000000e-08 -3.75642254e-01 -1.66533454e-15  9.89572472e-01  1.23109091e-03 
 1.01400000e-07 -3.75642254e-01 -3.10862447e-15  9.89572472e-01  1.23109091e-03 
 1.06400000e-07 -3.75642254e-01 -4.55191440e-15  9.89572472e-01  1.23109091e-03 
 1.11400000e-07 -3.75642254e-01 -5.77315973e-15  9.89572472e-01  1.23109091e-03 
 1.16400000e-07 -3.75642254e-01 -6.66133815e-15  9.89572472e-01  1.23109091e-03 
 1.21400000e-07 -3.75642254e-01 -7.43849426e-15  9.89572472e-01  1.23109091e-03 
 1.26400000e-07 -3.75642254e-01 -8.43769499e-15  9.89572472e-01  1.23109091e-03 
 1.31400000e-07 -3.75642254e-01 -9.76996262e-15  9.89572472e-01  1.23109091e-03 
 1.36400000e-07 -3.75642254e-01 -1.09912079e-14  9.89572472e-01  1.23109091e-03 
 1.41400000e-07 -3.75642254e-01 -1.18793864e-14  9.89572472e-01  1.23109091e-03 
 1.46400000e-07 -3.75642254e-01 -1.26565425e-14  9.89572472e-01  1.23109091e-03 
 1.51400000e-07 -3.75642254e-01 -1.34336986e-14  9.89572472e-01  1.23109091e-03 
 1.56400000e-07 -3.75642254e-01 -1.43218770e-14  9.89572472e-01  1.23109091e-03 
 1.61400000e-07 -3.75642254e-01 -1.55431223e-14  9.89572472e-01  1.23109091e-03 
 1.66400000e-07 -3.75642254e-01 -1.67643677e-14  9.89572472e-01  1.23109091e-03 
 1.71400000e-07 -3.75642254e-01 -1.77635684e-14  9.89572472e-01  1.23109091e-03 
 1.76400000e-07 -3.75642254e-01 -1.88737914e-14  9.89572472e-01  1.23109091e-03 
 1.81400000e-07 -3.75642254e-01 -1.99840144e-14  9.89572472e-01  1.23109091e-03 
 1.86400000e-07 -3.75642254e-01 -2.10942375e-14  9.89572472e-01  1.23109091e-03 
 1.91400000e-07 -3.75642254e-01 -2.24265051e-14  9.89572472e-01  1.23109091e-03 
 1.96400000e-07 -3.75642254e-01 -2.39808173e-14  9.89572472e-01  1.23109091e-03 
 2.01400000e-07 -3.75642254e-01 -2.53130850e-14  9.89572472e-01  1.23109091e-03 
 2.06400000e-07 -3.75642254e-01 -2.62012634e-14  9.89572472e-01  1.23109091e-03 
 2.11400000e-07 -3.75642254e-01 -2.70894418e-14  9.89572472e-01  1.23109091e-03 
 2.16400000e-07 -3.75642254e-01 -2.80886425e-14  9.89572472e-01  1.23109091e-03 
 2.21400000e-07 -3.75642254e-01 -2.93098879e-14  9.89572472e-01  1.23109091e-03 
 2.26400000e-07 -3.75642254e-01 -3.07531778e-14  9.89572472e-01  1.23109091e-03 
 2.31400000e-07 -3.75642254e-01 -3.20854454e-14  9.89572472e-01  1.23109091e-03 
 2.36400000e-07 -3.75642254e-01 -3.30846461e-14  9.89572472e-01  1.23109091e-03 
 2.41400000e-07 -3.75642254e-01 -3.40838469e-14  9.89572472e-01  1.23109091e-03 
 2.46400000e-07 -3.75642254e-01 -3.50830476e-14  9.89572472e-01  1.23109091e-03 
 2.51400000e-07 -3.75642254e-01 -3.64153152e-14  9.89572472e-01  1.23109091e-03 
 2.56400000e-07 -3.75642254e-01 -3.79696274e-14  9.89572472e-01  1.23109091e-03 
 2.61400000e-07 -3.75642254e-01 -3.93018951e-14  9.89572472e-01  1.23109091e-03 
 2.66400000e-07 -3.75642254e-01 -4.05231404e-14  9.89572472e-01  1.23109091e-03 
 2.71400000e-07 -3.75642254e-01 -4.15223411e-14  9.89572472e-01  1.23109091e-03 
 2.76400000e-07 -3.75642254e-01 -4.20774526e-14  9.89572472e-01  1.23109091e-03 
 2.81400000e-07 -3.75642254e-01 -4.26325641e-14  9.89572472e-01  1.23109091e-03 
 2.86400000e-07 -3.75642254e-01 -4.36317649e-14  9.89572472e-01  1.23109091e-03 
 2.91400000e-07 -3.75642254e-01 -4.48530102e-14  9.89572472e-01  1.23109091e-03 
 2.96400000e-07 -3.75642254e-01 -4.59632332e-14  9.89572472e-01  1.23109091e-03 
 3.01400000e-07 -3.75642254e-01 -4.67403893e-14  9.89572472e-01  1.23109091e-03 
 3.06400000e-07 -3.75642254e-01 -4.75175455e-14  9.89572472e-01  1.23109091e-03 
 3.11400000e-07 -3.75642254e-01 -4.85167462e-14  9.89572472e-01  1.23109091e-03 
 3.16400000e-07 -3.75642254e-01 -4.94049246e-14  9.89572472e-01  1.23109091e-03 
 3.21400000e-07 -3.75642254e-01 -5.02931030e-14  9.89572472e-01  1.23109091e-03 
 3.26400000e-07 -3.75642254e-01 -5.14033260e-14  9.89572472e-01  1.23109091e-03 
