 frequency       onoise_spectrum inoise_spectrum
 1.00000000e+00  2.73678889e-05  8.61990929e-07 
 1.02329299e+00  2.70620011e-05  8.52356554e-07 
 1.04712855e+00  2.67595554e-05  8.42830591e-07 
 1.07151931e+00  2.64605128e-05  8.33411816e-07 
 1.09647820e+00  2.61648349e-05  8.24099016e-07 
 1.12201845e+00  2.58724836e-05  8.14890992e-07 
 1.14815362e+00  2.55834213e-05  8.05786560e-07 
 1.17489755e+00  2.52976108e-05  7.96784549e-07 
 1.20226443e+00  2.50150154e-05  7.87883800e-07 
 1.23026877e+00  2.47355986e-05  7.79083169e-07 
 1.25892541e+00  2.44593247e-05  7.70381524e-07 
 1.28824955e+00  2.41861579e-05  7.61777746e-07 
 1.31825674e+00  2.39160633e-05  7.53270728e-07 
 1.34896288e+00  2.36490061e-05  7.44859378e-07 
 1.38038426e+00  2.33849519e-05  7.36542612e-07 
 1.41253754e+00  2.31238668e-05  7.28319363e-07 
 1.44543977e+00  2.28657173e-05  7.20188574e-07 
 1.47910839e+00  2.26104701e-05  7.12149199e-07 
 1.51356125e+00  2.23580926e-05  7.04200205e-07 
 1.54881662e+00  2.21085521e-05  6.96340571e-07 
 1.58489319e+00  2.18618168e-05  6.88569288e-07 
 1.62181010e+00  2.16178549e-05  6.80885356e-07 
 1.65958691e+00  2.13766350e-05  6.73287789e-07 
 1.69824365e+00  2.11381261e-05  6.65775612e-07 
 1.73780083e+00  2.09022978e-05  6.58347858e-07 
 1.77827941e+00  2.06691195e-05  6.51003576e-07 
 1.81970086e+00  2.04385615e-05  6.43741820e-07 
 1.86208714e+00  2.02105941e-05  6.36561660e-07 
 1.90546072e+00  1.99851881e-05  6.29462174e-07 
 1.94984460e+00  1.97623145e-05  6.22442450e-07 
 1.99526231e+00  1.95419447e-05  6.15501588e-07 
 2.04173794e+00  1.93240505e-05  6.08638696e-07 
 2.08929613e+00  1.91086038e-05  6.01852894e-07 
 2.13796209e+00  1.88955771e-05  5.95143312e-07 
 2.18776162e+00  1.86849430e-05  5.88509089e-07 
 2.23872114e+00  1.84766745e-05  5.81949374e-07 
 2.29086765e+00  1.82707449e-05  5.75463325e-07 
 2.34422882e+00  1.80671277e-05  5.69050111e-07 
 2.39883292e+00  1.78657970e-05  5.62708909e-07 
 2.45470892e+00  1.76667268e-05  5.56438907e-07 
 2.51188643e+00  1.74698916e-05  5.50239300e-07 
 2.57039578e+00  1.72752662e-05  5.44109295e-07 
 2.63026799e+00  1.70828256e-05  5.38048104e-07 
 2.69153480e+00  1.68925453e-05  5.32054952e-07 
 2.75422870e+00  1.67044008e-05  5.26129070e-07 
 2.81838293e+00  1.65183680e-05  5.20269700e-07 
 2.88403150e+00  1.63344230e-05  5.14476090e-07 
 2.95120923e+00  1.61525424e-05  5.08747499e-07 
 3.01995172e+00  1.59727028e-05  5.03083192e-07 
 3.09029543e+00  1.57948812e-05  4.97482444e-07 
 3.16227766e+00  1.56190547e-05  4.91944539e-07 
 3.23593657e+00  1.54452010e-05  4.86468767e-07 
 3.31131121e+00  1.52732977e-05  4.81054426e-07 
