 frequency       onoise_spectrum inoise_spectrum
 1.00000000e+00  2.73678888e-05  8.61990926e-07 
 1.02329299e+00  2.70620010e-05  8.52356551e-07 
 1.04712855e+00  2.67595553e-05  8.42830588e-07 
 1.07151931e+00  2.64605127e-05  8.33411813e-07 
 1.09647820e+00  2.61648348e-05  8.24099013e-07 
 1.12201845e+00  2.58724835e-05  8.14890989e-07 
 1.14815362e+00  2.55834212e-05  8.05786557e-07 
 1.17489755e+00  2.52976107e-05  7.96784546e-07 
 1.20226443e+00  2.50150153e-05  7.87883797e-07 
 1.23026877e+00  2.47355985e-05  7.79083166e-07 
 1.25892541e+00  2.44593246e-05  7.70381521e-07 
 1.28824955e+00  2.41861578e-05  7.61777743e-07 
 1.31825674e+00  2.39160632e-05  7.53270725e-07 
 1.34896288e+00  2.36490060e-05  7.44859374e-07 
 1.38038426e+00  2.33849518e-05  7.36542609e-07 
 1.41253754e+00  2.31238667e-05  7.28319360e-07 
 1.44543977e+00  2.28657172e-05  7.20188570e-07 
 1.47910839e+00  2.26104700e-05  7.12149195e-07 
 1.51356125e+00  2.23580925e-05  7.04200201e-07 
 1.54881662e+00  2.21085520e-05  6.96340568e-07 
 1.58489319e+00  2.18618167e-05  6.88569284e-07 
 1.62181010e+00  2.16178547e-05  6.80885352e-07 
 1.65958691e+00  2.13766348e-05  6.73287786e-07 
 1.69824365e+00  2.11381260e-05  6.65775608e-07 
 1.73780083e+00  2.09022976e-05  6.58347855e-07 
 1.77827941e+00  2.06691194e-05  6.51003572e-07 
 1.81970086e+00  2.04385614e-05  6.43741817e-07 
 1.86208714e+00  2.02105940e-05  6.36561657e-07 
 1.90546072e+00  1.99851880e-05  6.29462170e-07 
 1.94984460e+00  1.97623144e-05  6.22442446e-07 
 1.99526231e+00  1.95419446e-05  6.15501584e-07 
 2.04173794e+00  1.93240504e-05  6.08638692e-07 
 2.08929613e+00  1.91086037e-05  6.01852890e-07 
 2.13796209e+00  1.88955770e-05  5.95143308e-07 
 2.18776162e+00  1.86849429e-05  5.88509085e-07 
 2.23872114e+00  1.84766744e-05  5.81949370e-07 
 2.29086765e+00  1.82707448e-05  5.75463321e-07 
 2.34422882e+00  1.80671276e-05  5.69050107e-07 
 2.39883292e+00  1.78657968e-05  5.62708905e-07 
 2.45470892e+00  1.76667266e-05  5.56438903e-07 
 2.51188643e+00  1.74698914e-05  5.50239296e-07 
 2.57039578e+00  1.72752660e-05  5.44109290e-07 
 2.63026799e+00  1.70828255e-05  5.38048099e-07 
 2.69153480e+00  1.68925452e-05  5.32054947e-07 
 2.75422870e+00  1.67044006e-05  5.26129066e-07 
