 frequency       onoise_spectrum inoise_spectrum
 1.00000000e+00  1.15364800e-05  4.10252140e-07 
 1.02329299e+00  1.14183714e-05  4.06052046e-07 
 1.04712855e+00  1.13014896e-05  4.01895577e-07 
 1.07151931e+00  1.11858215e-05  3.97782272e-07 
 1.09647820e+00  1.10713545e-05  3.93711677e-07 
 1.12201845e+00  1.09580759e-05  3.89683342e-07 
 1.14815362e+00  1.08459731e-05  3.85696821e-07 
 1.17489755e+00  1.07350337e-05  3.81751675e-07 
 1.20226443e+00  1.06252456e-05  3.77847467e-07 
 1.23026877e+00  1.05165965e-05  3.73983766e-07 
 1.25892541e+00  1.04090746e-05  3.70160146e-07 
 1.28824955e+00  1.03026678e-05  3.66376185e-07 
 1.31825674e+00  1.01973646e-05  3.62631466e-07 
 1.34896288e+00  1.00931532e-05  3.58925575e-07 
 1.38038426e+00  9.99002225e-06  3.55258104e-07 
 1.41253754e+00  9.88796030e-06  3.51628649e-07 
 1.44543977e+00  9.78695613e-06  3.48036810e-07 
 1.47910839e+00  9.68699862e-06  3.44482192e-07 
 1.51356125e+00  9.58807677e-06  3.40964403e-07 
 1.54881662e+00  9.49017968e-06  3.37483056e-07 
 1.58489319e+00  9.39329659e-06  3.34037768e-07 
 1.62181010e+00  9.29741684e-06  3.30628160e-07 
 1.65958691e+00  9.20252989e-06  3.27253858e-07 
 1.69824365e+00  9.10862531e-06  3.23914490e-07 
 1.73780083e+00  9.01569279e-06  3.20609689e-07 
 1.77827941e+00  8.92372210e-06  3.17339092e-07 
 1.81970086e+00  8.83270316e-06  3.14102341e-07 
 1.86208714e+00  8.74262598e-06  3.10899080e-07 
 1.90546072e+00  8.65348066e-06  3.07728957e-07 
 1.94984460e+00  8.56525743e-06  3.04591625e-07 
 1.99526231e+00  8.47794662e-06  3.01486740e-07 
 2.04173794e+00  8.39153865e-06  2.98413961e-07 
 2.08929613e+00  8.30602405e-06  2.95372951e-07 
 2.13796209e+00  8.22139346e-06  2.92363378e-07 
 2.18776162e+00  8.13763760e-06  2.89384911e-07 
 2.23872114e+00  8.05474730e-06  2.86437225e-07 
 2.29086765e+00  7.97271350e-06  2.83519997e-07 
 2.34422882e+00  7.89152721e-06  2.80632908e-07 
 2.39883292e+00  7.81117956e-06  2.77775641e-07 
 2.45470892e+00  7.73166175e-06  2.74947886e-07 
 2.51188643e+00  7.65296511e-06  2.72149331e-07 
 2.57039578e+00  7.57508102e-06  2.69379672e-07 
 2.63026799e+00  7.49800098e-06  2.66638606e-07 
 2.69153480e+00  7.42171657e-06  2.63925834e-07 
 2.75422870e+00  7.34621946e-06  2.61241060e-07 
 2.81838293e+00  7.27150142e-06  2.58583989e-07 
 2.88403150e+00  7.19755429e-06  2.55954334e-07 
 2.95120923e+00  7.12437001e-06  2.53351806e-07 
 3.01995172e+00  7.05194059e-06  2.50776122e-07 
 3.09029543e+00  6.98025814e-06  2.48227002e-07 
 3.16227766e+00  6.90931486e-06  2.45704167e-07 
 3.23593657e+00  6.83910301e-06  2.43207343e-07 
 3.31131121e+00  6.76961494e-06  2.40736258e-07 
 3.38844156e+00  6.70084310e-06  2.38290642e-07 
 3.46736850e+00  6.63278001e-06  2.35870230e-07 
 3.54813389e+00  6.56541824e-06  2.33474759e-07 
 3.63078055e+00  6.49875049e-06  2.31103967e-07 
 3.71535229e+00  6.43276949e-06  2.28757598e-07 
 3.80189396e+00  6.36746809e-06  2.26435396e-07 
 3.89045145e+00  6.30283918e-06  2.24137108e-07 
 3.98107171e+00  6.23887574e-06  2.21862486e-07 
 4.07380278e+00  6.17557084e-06  2.19611281e-07 
 4.16869383e+00  6.11291760e-06  2.17383251e-07 
 4.26579519e+00  6.05090921e-06  2.15178153e-07 
 4.36515832e+00  5.98953896e-06  2.12995747e-07 
 4.46683592e+00  5.92880018e-06  2.10835798e-07 
 4.57088190e+00  5.86868630e-06  2.08698070e-07 
 4.67735141e+00  5.80919080e-06  2.06582333e-07 
 4.78630092e+00  5.75030723e-06  2.04488358e-07 
 4.89778819e+00  5.69202921e-06  2.02415916e-07 
 5.01187234e+00  5.63435044e-06  2.00364784e-07 
 5.12861384e+00  5.57726467e-06  1.98334741e-07 
 5.24807460e+00  5.52076573e-06  1.96325565e-07 
 5.37031796e+00  5.46484750e-06  1.94337041e-07 
 5.49540874e+00  5.40950394e-06  1.92368952e-07 
 5.62341325e+00  5.35472906e-06  1.90421087e-07 
 5.75439937e+00  5.30051695e-06  1.88493234e-07 
 5.88843655e+00  5.24686175e-06  1.86585186e-07 
 6.02559586e+00  5.19375766e-06  1.84696735e-07 
 6.16595002e+00  5.14119894e-06  1.82827680e-07 
 6.30957344e+00  5.08917994e-06  1.80977817e-07 
 6.45654229e+00  5.03769503e-06  1.79146947e-07 
 6.60693448e+00  4.98673867e-06  1.77334873e-07 
 6.76082975e+00  4.93630535e-06  1.75541399e-07 
 6.91830971e+00  4.88638964e-06  1.73766331e-07 
 7.07945784e+00  4.83698616e-06  1.72009480e-07 
 7.24435960e+00  4.78808959e-06  1.70270655e-07 
 7.41310241e+00  4.73969466e-06  1.68549668e-07 
 7.58577575e+00  4.69179616e-06  1.66846336e-07 
 7.76247117e+00  4.64438895e-06  1.65160474e-07 
 7.94328235e+00  4.59746790e-06  1.63491901e-07 
 8.12830516e+00  4.55102799e-06  1.61840438e-07 
 8.31763771e+00  4.50506422e-06  1.60205907e-07 
 8.51138038e+00  4.45957164e-06  1.58588132e-07 
 8.70963590e+00  4.41454537e-06  1.56986939e-07 
 8.91250938e+00  4.36998056e-06  1.55402157e-07 
 9.12010839e+00  4.32587244e-06  1.53833615e-07 
 9.33254301e+00  4.28221627e-06  1.52281146e-07 
 9.54992586e+00  4.23900736e-06  1.50744581e-07 
 9.77237221e+00  4.19624108e-06  1.49223757e-07 
 1.00000000e+01  4.15391283e-06  1.47718510e-07 
 1.02329299e+01  4.11201809e-06  1.46228678e-07 
 1.04712855e+01  4.07055236e-06  1.44754103e-07 
 1.07151931e+01  4.02951119e-06  1.43294626e-07 
 1.09647820e+01  3.98889019e-06  1.41850091e-07 
 1.12201845e+01  3.94868501e-06  1.40420343e-07 
 1.14815362e+01  3.90889135e-06  1.39005229e-07 
 1.17489755e+01  3.86950494e-06  1.37604597e-07 
 1.20226443e+01  3.83052157e-06  1.36218298e-07 
 1.23026877e+01  3.79193707e-06  1.34846184e-07 
 1.25892541e+01  3.75374732e-06  1.33488107e-07 
 1.28824955e+01  3.71594823e-06  1.32143922e-07 
 1.31825674e+01  3.67853576e-06  1.30813486e-07 
 1.34896288e+01  3.64150592e-06  1.29496657e-07 
 1.38038426e+01  3.60485475e-06  1.28193295e-07 
 1.41253754e+01  3.56857834e-06  1.26903259e-07 
 1.44543977e+01  3.53267282e-06  1.25626412e-07 
 1.47910839e+01  3.49713435e-06  1.24362618e-07 
 1.51356125e+01  3.46195914e-06  1.23111742e-07 
 1.54881662e+01  3.42714345e-06  1.21873651e-07 
 1.58489319e+01  3.39268356e-06  1.20648213e-07 
 1.62181010e+01  3.35857580e-06  1.19435297e-07 
 1.65958691e+01  3.32481653e-06  1.18234773e-07 
 1.69824365e+01  3.29140216e-06  1.17046515e-07 
 1.73780083e+01  3.25832913e-06  1.15870396e-07 
 1.77827941e+01  3.22559393e-06  1.14706289e-07 
 1.81970086e+01  3.19319306e-06  1.13554073e-07 
 1.86208714e+01  3.16112308e-06  1.12413623e-07 
 1.90546072e+01  3.12938058e-06  1.11284818e-07 
 1.94984460e+01  3.09796218e-06  1.10167540e-07 
 1.99526231e+01  3.06686455e-06  1.09061668e-07 
 2.04173794e+01  3.03608438e-06  1.07967085e-07 
 2.08929613e+01  3.00561840e-06  1.06883675e-07 
 2.13796209e+01  2.97546338e-06  1.05811324e-07 
 2.18776162e+01  2.94561612e-06  1.04749917e-07 
 2.23872114e+01  2.91607344e-06  1.03699341e-07 
 2.29086765e+01  2.88683221e-06  1.02659485e-07 
 2.34422882e+01  2.85788933e-06  1.01630239e-07 
 2.39883292e+01  2.82924174e-06  1.00611493e-07 
 2.45470892e+01  2.80088639e-06  9.96031406e-08 
 2.51188643e+01  2.77282029e-06  9.86050735e-08 
 2.57039578e+01  2.74504045e-06  9.76171866e-08 
 2.63026799e+01  2.71754394e-06  9.66393750e-08 
 2.69153480e+01  2.69032784e-06  9.56715354e-08 
 2.75422870e+01  2.66338927e-06  9.47135651e-08 
 2.81838293e+01  2.63672539e-06  9.37653630e-08 
 2.88403150e+01  2.61033337e-06  9.28268286e-08 
 2.95120923e+01  2.58421042e-06  9.18978628e-08 
 3.01995172e+01  2.55835378e-06  9.09783672e-08 
 3.09029543e+01  2.53276071e-06  9.00682448e-08 
 3.16227766e+01  2.50742852e-06  8.91673994e-08 
 3.23593657e+01  2.48235453e-06  8.82757357e-08 
 3.31131121e+01  2.45753608e-06  8.73931597e-08 
 3.38844156e+01  2.43297056e-06  8.65195781e-08 
 3.46736850e+01  2.40865538e-06  8.56548989e-08 
 3.54813389e+01  2.38458797e-06  8.47990306e-08 
 3.63078055e+01  2.36076579e-06  8.39518832e-08 
 3.71535229e+01  2.33718633e-06  8.31133671e-08 
 3.80189396e+01  2.31384711e-06  8.22833941e-08 
 3.89045145e+01  2.29074566e-06  8.14618767e-08 
 3.98107171e+01  2.26787955e-06  8.06487283e-08 
 4.07380278e+01  2.24524637e-06  7.98438633e-08 
 4.16869383e+01  2.22284375e-06  7.90471970e-08 
 4.26579519e+01  2.20066931e-06  7.82586453e-08 
 4.36515832e+01  2.17872073e-06  7.74781255e-08 
 4.46683592e+01  2.15699570e-06  7.67055554e-08 
 4.57088190e+01  2.13549193e-06  7.59408536e-08 
 4.67735141e+01  2.11420717e-06  7.51839399e-08 
 4.78630092e+01  2.09313917e-06  7.44347346e-08 
 4.89778819e+01  2.07228572e-06  7.36931590e-08 
 5.01187234e+01  2.05164463e-06  7.29591352e-08 
 5.12861384e+01  2.03121373e-06  7.22325861e-08 
 5.24807460e+01  2.01099089e-06  7.15134355e-08 
 5.37031796e+01  1.99097396e-06  7.08016077e-08 
 5.49540874e+01  1.97116086e-06  7.00970283e-08 
 5.62341325e+01  1.95154950e-06  6.93996231e-08 
 5.75439937e+01  1.93213783e-06  6.87093191e-08 
 5.88843655e+01  1.91292382e-06  6.80260439e-08 
 6.02559586e+01  1.89390544e-06  6.73497258e-08 
 6.16595002e+01  1.87508071e-06  6.66802941e-08 
 6.30957344e+01  1.85644765e-06  6.60176785e-08 
 6.45654229e+01  1.83800432e-06  6.53618097e-08 
 6.60693448e+01  1.81974878e-06  6.47126190e-08 
 6.76082975e+01  1.80167911e-06  6.40700384e-08 
 6.91830971e+01  1.78379344e-06  6.34340006e-08 
 7.07945784e+01  1.76608988e-06  6.28044393e-08 
 7.24435960e+01  1.74856659e-06  6.21812884e-08 
 7.41310241e+01  1.73122173e-06  6.15644828e-08 
 7.58577575e+01  1.71405349e-06  6.09539581e-08 
 7.76247117e+01  1.69706008e-06  6.03496505e-08 
 7.94328235e+01  1.68023972e-06  5.97514967e-08 
 8.12830516e+01  1.66359065e-06  5.91594344e-08 
 8.31763771e+01  1.64711114e-06  5.85734017e-08 
 8.51138038e+01  1.63079946e-06  5.79933374e-08 
 8.70963590e+01  1.61465392e-06  5.74191810e-08 
 8.91250938e+01  1.59867282e-06  5.68508725e-08 
 9.12010839e+01  1.58285451e-06  5.62883528e-08 
 9.33254301e+01  1.56719732e-06  5.57315631e-08 
 9.54992586e+01  1.55169963e-06  5.51804453e-08 
 9.77237221e+01  1.53635983e-06  5.46349421e-08 
 1.00000000e+02  1.52117631e-06  5.40949966e-08 
 1.02329299e+02  1.50614750e-06  5.35605525e-08 
 1.04712855e+02  1.49127182e-06  5.30315542e-08 
 1.07151931e+02  1.47654773e-06  5.25079466e-08 
 1.09647820e+02  1.46197370e-06  5.19896752e-08 
 1.12201845e+02  1.44754820e-06  5.14766860e-08 
 1.14815362e+02  1.43326975e-06  5.09689257e-08 
 1.17489755e+02  1.41913685e-06  5.04663414e-08 
 1.20226443e+02  1.40514803e-06  4.99688810e-08 
 1.23026877e+02  1.39130184e-06  4.94764926e-08 
 1.25892541e+02  1.37759684e-06  4.89891251e-08 
 1.28824955e+02  1.36403160e-06  4.85067279e-08 
 1.31825674e+02  1.35060472e-06  4.80292508e-08 
 1.34896288e+02  1.33731481e-06  4.75566443e-08 
 1.38038426e+02  1.32416047e-06  4.70888592e-08 
 1.41253754e+02  1.31114036e-06  4.66258470e-08 
 1.44543977e+02  1.29825310e-06  4.61675597e-08 
 1.47910839e+02  1.28549738e-06  4.57139497e-08 
 1.51356125e+02  1.27287186e-06  4.52649699e-08 
 1.54881662e+02  1.26037523e-06  4.48205738e-08 
 1.58489319e+02  1.24800621e-06  4.43807153e-08 
 1.62181010e+02  1.23576350e-06  4.39453488e-08 
 1.65958691e+02  1.22364584e-06  4.35144292e-08 
 1.69824365e+02  1.21165197e-06  4.30879119e-08 
 1.73780083e+02  1.19978065e-06  4.26657525e-08 
 1.77827941e+02  1.18803066e-06  4.22479075e-08 
 1.81970086e+02  1.17640077e-06  4.18343336e-08 
 1.86208714e+02  1.16488977e-06  4.14249879e-08 
 1.90546072e+02  1.15349649e-06  4.10198281e-08 
 1.94984460e+02  1.14221974e-06  4.06188122e-08 
 1.99526231e+02  1.13105835e-06  4.02218989e-08 
 2.04173794e+02  1.12001117e-06  3.98290469e-08 
 2.08929613e+02  1.10907705e-06  3.94402157e-08 
 2.13796209e+02  1.09825487e-06  3.90553652e-08 
 2.18776162e+02  1.08754351e-06  3.86744554e-08 
 2.23872114e+02  1.07694186e-06  3.82974471e-08 
 2.29086765e+02  1.06644883e-06  3.79243013e-08 
 2.34422882e+02  1.05606332e-06  3.75549794e-08 
 2.39883292e+02  1.04578428e-06  3.71894434e-08 
 2.45470892e+02  1.03561063e-06  3.68276554e-08 
 2.51188643e+02  1.02554133e-06  3.64695782e-08 
 2.57039578e+02  1.01557533e-06  3.61151747e-08 
 2.63026799e+02  1.00571162e-06  3.57644083e-08 
 2.69153480e+02  9.95949167e-07  3.54172430e-08 
 2.75422870e+02  9.86286968e-07  3.50736429e-08 
 2.81838293e+02  9.76724027e-07  3.47335724e-08 
 2.88403150e+02  9.67259358e-07  3.43969967e-08 
 2.95120923e+02  9.57891984e-07  3.40638809e-08 
 3.01995172e+02  9.48620940e-07  3.37341907e-08 
 3.09029543e+02  9.39445271e-07  3.34078922e-08 
 3.16227766e+02  9.30364031e-07  3.30849518e-08 
 3.23593657e+02  9.21376284e-07  3.27653360e-08 
 3.31131121e+02  9.12481104e-07  3.24490121e-08 
 3.38844156e+02  9.03677576e-07  3.21359474e-08 
 3.46736850e+02  8.94964792e-07  3.18261097e-08 
 3.54813389e+02  8.86341855e-07  3.15194671e-08 
 3.63078055e+02  8.77807878e-07  3.12159881e-08 
 3.71535229e+02  8.69361981e-07  3.09156413e-08 
 3.80189396e+02  8.61003297e-07  3.06183958e-08 
 3.89045145e+02  8.52730963e-07  3.03242212e-08 
 3.98107171e+02  8.44544130e-07  3.00330870e-08 
 4.07380278e+02  8.36441954e-07  2.97449634e-08 
 4.16869383e+02  8.28423603e-07  2.94598207e-08 
 4.26579519e+02  8.20488251e-07  2.91776296e-08 
 4.36515832e+02  8.12635082e-07  2.88983610e-08 
 4.46683592e+02  8.04863288e-07  2.86219862e-08 
 4.57088190e+02  7.97172071e-07  2.83484769e-08 
 4.67735141e+02  7.89560639e-07  2.80778048e-08 
 4.78630092e+02  7.82028209e-07  2.78099421e-08 
 4.89778819e+02  7.74574008e-07  2.75448614e-08 
 5.01187234e+02  7.67197268e-07  2.72825353e-08 
 5.12861384e+02  7.59897232e-07  2.70229369e-08 
 5.24807460e+02  7.52673148e-07  2.67660395e-08 
 5.37031796e+02  7.45524275e-07  2.65118167e-08 
 5.49540874e+02  7.38449878e-07  2.62602424e-08 
 5.62341325e+02  7.31449229e-07  2.60112906e-08 
 5.75439937e+02  7.24521609e-07  2.57649359e-08 
 5.88843655e+02  7.17666306e-07  2.55211529e-08 
 6.02559586e+02  7.10882615e-07  2.52799165e-08 
 6.16595002e+02  7.04169838e-07  2.50412019e-08 
 6.30957344e+02  6.97527287e-07  2.48049846e-08 
 6.45654229e+02  6.90954277e-07  2.45712404e-08 
 6.60693448e+02  6.84450134e-07  2.43399452e-08 
 6.76082975e+02  6.78014189e-07  2.41110752e-08 
 6.91830971e+02  6.71645780e-07  2.38846068e-08 
 7.07945784e+02  6.65344252e-07  2.36605169e-08 
 7.24435960e+02  6.59108958e-07  2.34387824e-08 
 7.41310241e+02  6.52939256e-07  2.32193804e-08 
 7.58577575e+02  6.46834512e-07  2.30022884e-08 
 7.76247117e+02  6.40794098e-07  2.27874841e-08 
 7.94328235e+02  6.34817392e-07  2.25749454e-08 
 8.12830516e+02  6.28903780e-07  2.23646504e-08 
 8.31763771e+02  6.23052653e-07  2.21565774e-08 
 8.51138038e+02  6.17263409e-07  2.19507052e-08 
 8.70963590e+02  6.11535452e-07  2.17470124e-08 
