 frequency       av              ph             
 1.00000000e+00 -8.45988555e-03 -8.44054185e-06 
 1.02920053e+00 -8.45988555e-03 -8.68701013e-06 
 1.05925373e+00 -8.45988555e-03 -8.94067540e-06 
 1.09018449e+00 -8.45988555e-03 -9.20174784e-06 
 1.12201845e+00 -8.45988555e-03 -9.47044373e-06 
 1.15478198e+00 -8.45988555e-03 -9.74698567e-06 
 1.18850223e+00 -8.45988555e-03 -1.00316028e-05 
 1.22320712e+00 -8.45988555e-03 -1.03245309e-05 
 1.25892541e+00 -8.45988555e-03 -1.06260126e-05 
 1.29568670e+00 -8.45988555e-03 -1.09362978e-05 
 1.33352143e+00 -8.45988555e-03 -1.12556435e-05 
 1.37246096e+00 -8.45988555e-03 -1.15843142e-05 
 1.41253754e+00 -8.45988555e-03 -1.19225823e-05 
 1.45378439e+00 -8.45988555e-03 -1.22707280e-05 
 1.49623566e+00 -8.45988555e-03 -1.26290397e-05 
 1.53992653e+00 -8.45988555e-03 -1.29978143e-05 
 1.58489319e+00 -8.45988555e-03 -1.33773573e-05 
 1.63117291e+00 -8.45988555e-03 -1.37679832e-05 
 1.67880402e+00 -8.45988555e-03 -1.41700156e-05 
 1.72782598e+00 -8.45988555e-03 -1.45837875e-05 
 1.77827941e+00 -8.45988555e-03 -1.50096418e-05 
 1.83020611e+00 -8.45988555e-03 -1.54479312e-05 
 1.88364909e+00 -8.45988555e-03 -1.58990190e-05 
 1.93865264e+00 -8.45988555e-03 -1.63632787e-05 
 1.99526231e+00 -8.45988555e-03 -1.68410951e-05 
 2.05352503e+00 -8.45988555e-03 -1.73328639e-05 
 2.11348904e+00 -8.45988555e-03 -1.78389927e-05 
 2.17520403e+00 -8.45988555e-03 -1.83599007e-05 
 2.23872114e+00 -8.45988555e-03 -1.88960195e-05 
 2.30409298e+00 -8.45988555e-03 -1.94477932e-05 
 2.37137371e+00 -8.45988555e-03 -2.00156790e-05 
 2.44061907e+00 -8.45988555e-03 -2.06001474e-05 
 2.51188643e+00 -8.45988555e-03 -2.12016826e-05 
 2.58523484e+00 -8.45988555e-03 -2.18207829e-05 
 2.66072506e+00 -8.45988555e-03 -2.24579612e-05 
 2.73841963e+00 -8.45988555e-03 -2.31137455e-05 
 2.81838293e+00 -8.45988555e-03 -2.37886791e-05 
 2.90068120e+00 -8.45988555e-03 -2.44833211e-05 
 2.98538262e+00 -8.45988555e-03 -2.51982469e-05 
 3.07255737e+00 -8.45988555e-03 -2.59340490e-05 
 3.16227766e+00 -8.45988555e-03 -2.66913369e-05 
 3.25461783e+00 -8.45988555e-03 -2.74707381e-05 
 3.34965439e+00 -8.45988555e-03 -2.82728981e-05 
 3.44746607e+00 -8.45988555e-03 -2.90984816e-05 
 3.54813389e+00 -8.45988555e-03 -2.99481726e-05 
 3.65174127e+00 -8.45988555e-03 -3.08226751e-05 
 3.75837404e+00 -8.45988555e-03 -3.17227134e-05 
 3.86812055e+00 -8.45988555e-03 -3.26490334e-05 
 3.98107171e+00 -8.45988555e-03 -3.36024024e-05 
 4.09732110e+00 -8.45988555e-03 -3.45836102e-05 
 4.21696503e+00 -8.45988555e-03 -3.55934699e-05 
 4.34010264e+00 -8.45988555e-03 -3.66328180e-05 
 4.46683592e+00 -8.45988555e-03 -3.77025156e-05 
 4.59726989e+00 -8.45988555e-03 -3.88034489e-05 
 4.73151259e+00 -8.45988555e-03 -3.99365300e-05 
 4.86967525e+00 -8.45988555e-03 -4.11026978e-05 
 5.01187234e+00 -8.45988555e-03 -4.23029182e-05 
 5.15822165e+00 -8.45988555e-03 -4.35381857e-05 
 5.30884444e+00 -8.45988555e-03 -4.48095237e-05 
 5.46386550e+00 -8.45988555e-03 -4.61179854e-05 
 5.62341325e+00 -8.45988555e-03 -4.74646549e-05 
 5.78761988e+00 -8.45988556e-03 -4.88506479e-05 
 5.95662144e+00 -8.45988556e-03 -5.02771125e-05 
 6.13055792e+00 -8.45988556e-03 -5.17452307e-05 
 6.30957344e+00 -8.45988556e-03 -5.32562187e-05 
 6.49381632e+00 -8.45988556e-03 -5.48113284e-05 
 6.68343918e+00 -8.45988556e-03 -5.64118481e-05 
 6.87859912e+00 -8.45988556e-03 -5.80591038e-05 
 7.07945784e+00 -8.45988556e-03 -5.97544602e-05 
 7.28618175e+00 -8.45988556e-03 -6.14993220e-05 
 7.49894209e+00 -8.45988556e-03 -6.32951346e-05 
 7.71791516e+00 -8.45988556e-03 -6.51433859e-05 
 7.94328235e+00 -8.45988556e-03 -6.70456071e-05 
 8.17523038e+00 -8.45988556e-03 -6.90033742e-05 
 8.41395142e+00 -8.45988556e-03 -7.10183091e-05 
 8.65964323e+00 -8.45988556e-03 -7.30920812e-05 
 8.91250938e+00 -8.45988556e-03 -7.52264085e-05 
 9.17275935e+00 -8.45988556e-03 -7.74230592e-05 
 9.44060876e+00 -8.45988556e-03 -7.96838534e-05 
 9.71627952e+00 -8.45988556e-03 -8.20106639e-05 
 1.00000000e+01 -8.45988556e-03 -8.44054185e-05 
 1.02920053e+01 -8.45988556e-03 -8.68701013e-05 
 1.05925373e+01 -8.45988556e-03 -8.94067540e-05 
 1.09018449e+01 -8.45988556e-03 -9.20174784e-05 
 1.12201845e+01 -8.45988556e-03 -9.47044373e-05 
 1.15478198e+01 -8.45988557e-03 -9.74698567e-05 
 1.18850223e+01 -8.45988557e-03 -1.00316028e-04 
 1.22320712e+01 -8.45988557e-03 -1.03245309e-04 
 1.25892541e+01 -8.45988557e-03 -1.06260126e-04 
 1.29568670e+01 -8.45988557e-03 -1.09362978e-04 
 1.33352143e+01 -8.45988557e-03 -1.12556435e-04 
 1.37246096e+01 -8.45988557e-03 -1.15843142e-04 
 1.41253754e+01 -8.45988557e-03 -1.19225823e-04 
 1.45378439e+01 -8.45988557e-03 -1.22707280e-04 
 1.49623566e+01 -8.45988557e-03 -1.26290397e-04 
 1.53992653e+01 -8.45988557e-03 -1.29978143e-04 
 1.58489319e+01 -8.45988558e-03 -1.33773573e-04 
 1.63117291e+01 -8.45988558e-03 -1.37679832e-04 
 1.67880402e+01 -8.45988558e-03 -1.41700156e-04 
 1.72782598e+01 -8.45988558e-03 -1.45837875e-04 
 1.77827941e+01 -8.45988558e-03 -1.50096418e-04 
 1.83020611e+01 -8.45988558e-03 -1.54479312e-04 
 1.88364909e+01 -8.45988559e-03 -1.58990190e-04 
 1.93865264e+01 -8.45988559e-03 -1.63632787e-04 
 1.99526231e+01 -8.45988559e-03 -1.68410951e-04 
 2.05352503e+01 -8.45988559e-03 -1.73328639e-04 
 2.11348904e+01 -8.45988559e-03 -1.78389927e-04 
 2.17520403e+01 -8.45988560e-03 -1.83599007e-04 
 2.23872114e+01 -8.45988560e-03 -1.88960195e-04 
 2.30409298e+01 -8.45988560e-03 -1.94477932e-04 
 2.37137371e+01 -8.45988560e-03 -2.00156790e-04 
 2.44061907e+01 -8.45988561e-03 -2.06001474e-04 
 2.51188643e+01 -8.45988561e-03 -2.12016826e-04 
 2.58523484e+01 -8.45988562e-03 -2.18207829e-04 
 2.66072506e+01 -8.45988562e-03 -2.24579612e-04 
 2.73841963e+01 -8.45988562e-03 -2.31137455e-04 
 2.81838293e+01 -8.45988563e-03 -2.37886791e-04 
 2.90068120e+01 -8.45988563e-03 -2.44833211e-04 
 2.98538262e+01 -8.45988564e-03 -2.51982469e-04 
 3.07255737e+01 -8.45988564e-03 -2.59340490e-04 
 3.16227766e+01 -8.45988565e-03 -2.66913369e-04 
 3.25461783e+01 -8.45988565e-03 -2.74707381e-04 
 3.34965439e+01 -8.45988566e-03 -2.82728981e-04 
 3.44746607e+01 -8.45988566e-03 -2.90984816e-04 
 3.54813389e+01 -8.45988567e-03 -2.99481726e-04 
