 v-sweep         id              od              cm             
 8.87500000e-01 -2.50000000e-02 -3.51392794e-01  8.90639223e-01 
 8.87812500e-01 -2.43750000e-02 -3.42607409e-01  8.90639256e-01 
 8.88125000e-01 -2.37500000e-02 -3.33822042e-01  8.90639288e-01 
 8.88437500e-01 -2.31250000e-02 -3.25036692e-01  8.90639319e-01 
 8.88750000e-01 -2.25000000e-02 -3.16251362e-01  8.90639349e-01 
 8.89062500e-01 -2.18750000e-02 -3.07466051e-01  8.90639378e-01 
 8.89375000e-01 -2.12500000e-02 -2.98680762e-01  8.90639407e-01 
 8.89687500e-01 -2.06250000e-02 -2.89895494e-01  8.90639435e-01 
 8.90000000e-01 -2.00000000e-02 -2.81110250e-01  8.90639462e-01 
 8.90312500e-01 -1.93750000e-02 -2.72325030e-01  8.90639488e-01 
 8.90625000e-01 -1.87500000e-02 -2.63539834e-01  8.90639513e-01 
 8.90937500e-01 -1.81250000e-02 -2.54754665e-01  8.90639538e-01 
 8.91250000e-01 -1.75000000e-02 -2.45969522e-01  8.90639561e-01 
 8.91562500e-01 -1.68750000e-02 -2.37184407e-01  8.90639584e-01 
 8.91875000e-01 -1.62500000e-02 -2.28399321e-01  8.90639606e-01 
 8.92187500e-01 -1.56250000e-02 -2.19614265e-01  8.90639627e-01 
 8.92500000e-01 -1.50000000e-02 -2.10829239e-01  8.90639648e-01 
 8.92812500e-01 -1.43750000e-02 -2.02044245e-01  8.90639667e-01 
 8.93125000e-01 -1.37500000e-02 -1.93259283e-01  8.90639686e-01 
 8.93437500e-01 -1.31250000e-02 -1.84474355e-01  8.90639704e-01 
 8.93750000e-01 -1.25000000e-02 -1.75689460e-01  8.90639721e-01 
 8.94062500e-01 -1.18750000e-02 -1.66904601e-01  8.90639737e-01 
 8.94375000e-01 -1.12500000e-02 -1.58119778e-01  8.90639752e-01 
 8.94687500e-01 -1.06250000e-02 -1.49334992e-01  8.90639767e-01 
 8.95000000e-01 -1.00000000e-02 -1.40550243e-01  8.90639780e-01 
 8.95312500e-01 -9.37500000e-03 -1.31765533e-01  8.90639793e-01 
 8.95625000e-01 -8.75000000e-03 -1.22980863e-01  8.90639805e-01 
 8.95937500e-01 -8.12500000e-03 -1.14196233e-01  8.90639816e-01 
 8.96250000e-01 -7.50000000e-03 -1.05411644e-01  8.90639827e-01 
 8.96562500e-01 -6.87500000e-03 -9.66270970e-02  8.90639836e-01 
 8.96875000e-01 -6.25000000e-03 -8.78425931e-02  8.90639845e-01 
 8.97187500e-01 -5.62500000e-03 -7.90581331e-02  8.90639853e-01 
 8.97500000e-01 -5.00000000e-03 -7.02737177e-02  8.90639860e-01 
 8.97812500e-01 -4.37500000e-03 -6.14893478e-02  8.90639866e-01 
 8.98125000e-01 -3.75000000e-03 -5.27050242e-02  8.90639872e-01 
 8.98437500e-01 -3.12500000e-03 -4.39207478e-02  8.90639876e-01 
 8.98750000e-01 -2.50000000e-03 -3.51365194e-02  8.90639880e-01 
 8.99062500e-01 -1.87500000e-03 -2.63523399e-02  8.90639883e-01 
 8.99375000e-01 -1.25000000e-03 -1.75682102e-02  8.90639885e-01 
 8.99687500e-01 -6.25000000e-04 -8.78410548e-03  8.90639886e-01 
 9.00000000e-01  3.99680289e-15 -1.57507341e-12  8.90639887e-01 
 9.00312500e-01  6.25000000e-04  8.78410549e-03  8.90639886e-01 
 9.00625000e-01  1.25000000e-03  1.75682102e-02  8.90639885e-01 
 9.00937500e-01  1.87500000e-03  2.63523399e-02  8.90639883e-01 
 9.01250000e-01  2.50000000e-03  3.51365194e-02  8.90639880e-01 
 9.01562500e-01  3.12500000e-03  4.39207478e-02  8.90639876e-01 
 9.01875000e-01  3.75000000e-03  5.27050242e-02  8.90639872e-01 
 9.02187500e-01  4.37500000e-03  6.14893478e-02  8.90639866e-01 
 9.02500000e-01  5.00000000e-03  7.02737177e-02  8.90639860e-01 
 9.02812500e-01  5.62500000e-03  7.90581331e-02  8.90639853e-01 
 9.03125000e-01  6.25000000e-03  8.78425931e-02  8.90639845e-01 
 9.03437500e-01  6.87500000e-03  9.66270970e-02  8.90639836e-01 
 9.03750000e-01  7.50000000e-03  1.05411644e-01  8.90639827e-01 
 9.04062500e-01  8.12500000e-03  1.14196233e-01  8.90639816e-01 
 9.04375000e-01  8.75000000e-03  1.22980863e-01  8.90639805e-01 
 9.04687500e-01  9.37500000e-03  1.31765533e-01  8.90639793e-01 
 9.05000000e-01  1.00000000e-02  1.40550243e-01  8.90639780e-01 
 9.05312500e-01  1.06250000e-02  1.49334992e-01  8.90639767e-01 
 9.05625000e-01  1.12500000e-02  1.58119778e-01  8.90639752e-01 
 9.05937500e-01  1.18750000e-02  1.66904601e-01  8.90639737e-01 
 9.06250000e-01  1.25000000e-02  1.75689460e-01  8.90639721e-01 
 9.06562500e-01  1.31250000e-02  1.84474355e-01  8.90639704e-01 
 9.06875000e-01  1.37500000e-02  1.93259283e-01  8.90639686e-01 
 9.07187500e-01  1.43750000e-02  2.02044245e-01  8.90639667e-01 
 9.07500000e-01  1.50000000e-02  2.10829239e-01  8.90639648e-01 
 9.07812500e-01  1.56250000e-02  2.19614265e-01  8.90639627e-01 
 9.08125000e-01  1.62500000e-02  2.28399321e-01  8.90639606e-01 
 9.08437500e-01  1.68750000e-02  2.37184407e-01  8.90639584e-01 
 9.08750000e-01  1.75000000e-02  2.45969522e-01  8.90639561e-01 
 9.09062500e-01  1.81250000e-02  2.54754665e-01  8.90639538e-01 
