polarity,physical_row,physical_col,core_row,core_col,net,electrical,x_um,y_um
P,0,0,,,EDGE,0,0.000,0.000
P,0,1,,,EDGE,0,4.000,0.000
P,0,2,,,EDGE,0,8.000,0.000
P,0,3,,,EDGE,0,12.000,0.000
P,0,4,,,EDGE,0,16.000,0.000
P,0,5,,,EDGE,0,20.000,0.000
P,0,6,,,EDGE,0,24.000,0.000
P,0,7,,,EDGE,0,28.000,0.000
P,0,8,,,EDGE,0,32.000,0.000
P,0,9,,,EDGE,0,36.000,0.000
P,0,10,,,EDGE,0,40.000,0.000
P,0,11,,,EDGE,0,44.000,0.000
P,0,12,,,EDGE,0,48.000,0.000
P,0,13,,,EDGE,0,52.000,0.000
P,0,14,,,EDGE,0,56.000,0.000
P,0,15,,,EDGE,0,60.000,0.000
P,0,16,,,EDGE,0,64.000,0.000
P,0,17,,,EDGE,0,68.000,0.000
P,0,18,,,EDGE,0,72.000,0.000
P,0,19,,,EDGE,0,76.000,0.000
P,0,20,,,EDGE,0,80.000,0.000
P,0,21,,,EDGE,0,84.000,0.000
P,0,22,,,EDGE,0,88.000,0.000
P,0,23,,,EDGE,0,92.000,0.000
P,0,24,,,EDGE,0,96.000,0.000
P,0,25,,,EDGE,0,100.000,0.000
P,0,26,,,EDGE,0,104.000,0.000
P,0,27,,,EDGE,0,108.000,0.000
P,0,28,,,EDGE,0,112.000,0.000
P,0,29,,,EDGE,0,116.000,0.000
P,0,30,,,EDGE,0,120.000,0.000
P,0,31,,,EDGE,0,124.000,0.000
P,0,32,,,EDGE,0,128.000,0.000
P,0,33,,,EDGE,0,132.000,0.000
P,0,34,,,EDGE,0,136.000,0.000
P,0,35,,,EDGE,0,140.000,0.000
P,0,36,,,EDGE,0,144.000,0.000
P,0,37,,,EDGE,0,148.000,0.000
P,0,38,,,EDGE,0,152.000,0.000
P,0,39,,,EDGE,0,156.000,0.000
P,0,40,,,EDGE,0,160.000,0.000
P,0,41,,,EDGE,0,164.000,0.000
P,0,42,,,EDGE,0,168.000,0.000
P,0,43,,,EDGE,0,172.000,0.000
P,0,44,,,EDGE,0,176.000,0.000
P,0,45,,,EDGE,0,180.000,0.000
P,0,46,,,EDGE,0,184.000,0.000
P,0,47,,,EDGE,0,188.000,0.000
P,0,48,,,EDGE,0,192.000,0.000
P,0,49,,,EDGE,0,196.000,0.000
P,0,50,,,EDGE,0,200.000,0.000
P,0,51,,,EDGE,0,204.000,0.000
P,0,52,,,EDGE,0,208.000,0.000
P,0,53,,,EDGE,0,212.000,0.000
P,0,54,,,EDGE,0,216.000,0.000
P,0,55,,,EDGE,0,220.000,0.000
P,0,56,,,EDGE,0,224.000,0.000
P,0,57,,,EDGE,0,228.000,0.000
P,0,58,,,EDGE,0,232.000,0.000
P,0,59,,,EDGE,0,236.000,0.000
P,0,60,,,EDGE,0,240.000,0.000
P,0,61,,,EDGE,0,244.000,0.000
P,0,62,,,EDGE,0,248.000,0.000
P,0,63,,,EDGE,0,252.000,0.000
P,0,64,,,EDGE,0,256.000,0.000
P,0,65,,,EDGE,0,260.000,0.000
P,1,0,,,EDGE,0,0.000,4.000
P,1,1,0,0,B11,1,4.000,4.000
P,1,2,0,1,B11,1,8.000,4.000
P,1,3,0,2,B11,1,12.000,4.000
P,1,4,0,3,B11,1,16.000,4.000
P,1,5,0,4,B11,1,20.000,4.000
P,1,6,0,5,B11,1,24.000,4.000
P,1,7,0,6,B11,1,28.000,4.000
P,1,8,0,7,B11,1,32.000,4.000
P,1,9,0,8,B11,1,36.000,4.000
P,1,10,0,9,B11,1,40.000,4.000
P,1,11,0,10,B11,1,44.000,4.000
P,1,12,0,11,B11,1,48.000,4.000
P,1,13,0,12,B11,1,52.000,4.000
P,1,14,0,13,B11,1,56.000,4.000
P,1,15,0,14,B11,1,60.000,4.000
P,1,16,0,15,B11,1,64.000,4.000
P,1,17,0,16,B11,1,68.000,4.000
P,1,18,0,17,B11,1,72.000,4.000
P,1,19,0,18,B11,1,76.000,4.000
P,1,20,0,19,B11,1,80.000,4.000
P,1,21,0,20,B11,1,84.000,4.000
P,1,22,0,21,B11,1,88.000,4.000
P,1,23,0,22,B11,1,92.000,4.000
P,1,24,0,23,B11,1,96.000,4.000
P,1,25,0,24,B11,1,100.000,4.000
P,1,26,0,25,B11,1,104.000,4.000
P,1,27,0,26,B11,1,108.000,4.000
P,1,28,0,27,B11,1,112.000,4.000
P,1,29,0,28,B11,1,116.000,4.000
P,1,30,0,29,B11,1,120.000,4.000
P,1,31,0,30,B11,1,124.000,4.000
P,1,32,0,31,B11,1,128.000,4.000
P,1,33,0,32,B11,1,132.000,4.000
P,1,34,0,33,B11,1,136.000,4.000
P,1,35,0,34,B11,1,140.000,4.000
P,1,36,0,35,B11,1,144.000,4.000
P,1,37,0,36,B11,1,148.000,4.000
P,1,38,0,37,B11,1,152.000,4.000
P,1,39,0,38,B11,1,156.000,4.000
P,1,40,0,39,B11,1,160.000,4.000
P,1,41,0,40,B11,1,164.000,4.000
P,1,42,0,41,B11,1,168.000,4.000
P,1,43,0,42,B11,1,172.000,4.000
P,1,44,0,43,B11,1,176.000,4.000
P,1,45,0,44,B11,1,180.000,4.000
P,1,46,0,45,B11,1,184.000,4.000
P,1,47,0,46,B11,1,188.000,4.000
P,1,48,0,47,B11,1,192.000,4.000
P,1,49,0,48,B11,1,196.000,4.000
P,1,50,0,49,B11,1,200.000,4.000
P,1,51,0,50,B11,1,204.000,4.000
P,1,52,0,51,B11,1,208.000,4.000
P,1,53,0,52,B11,1,212.000,4.000
P,1,54,0,53,B11,1,216.000,4.000
P,1,55,0,54,B11,1,220.000,4.000
P,1,56,0,55,B11,1,224.000,4.000
P,1,57,0,56,B11,1,228.000,4.000
P,1,58,0,57,B11,1,232.000,4.000
P,1,59,0,58,B11,1,236.000,4.000
P,1,60,0,59,B11,1,240.000,4.000
P,1,61,0,60,B11,1,244.000,4.000
P,1,62,0,61,B11,1,248.000,4.000
P,1,63,0,62,B11,1,252.000,4.000
P,1,64,0,63,B6,1,256.000,4.000
P,1,65,,,EDGE,0,260.000,4.000
P,2,0,,,EDGE,0,0.000,8.000
P,2,1,1,0,B11,1,4.000,8.000
P,2,2,1,1,B11,1,8.000,8.000
P,2,3,1,2,B11,1,12.000,8.000
P,2,4,1,3,B11,1,16.000,8.000
P,2,5,1,4,B11,1,20.000,8.000
P,2,6,1,5,B11,1,24.000,8.000
