device,ids,gm,gds,vgs,vds,vdsat
M8,-9.999998820817449e-06,0.0001020060154098754,3.364582216767255e-07,-1.16724668807448,-1.16724668807448,-0.1697032387080531
M9,-9.991455090098753e-06,0.0001019238855917208,3.417718766349632e-07,-1.16724668807448,-1.142051055908431,-0.1696953444088251
M10,9.991455574786466e-06,0.0001727560309578963,1.03621407889318e-06,0.6579489440915688,0.6579489440915688,0.09235519778443227
M1,1.810444457300554e-05,0.0003647419856007403,3.489179541302894e-06,0.6657934089350116,0.660995588333546,0.07279785224589846
M2,1.810361684529266e-05,0.0003647278183040056,3.488006040583201e-06,0.6657869125069602,0.6614375276742774,0.07279533199593975
M3A,-9.052221615733437e-06,0.0001443367007987931,9.364124800302766e-07,-1.004791324173414,-1.004791324173414,-0.08581750391618552
M3B,-9.052221615733437e-06,0.0001443367007987931,9.364124800302766e-07,-1.004791324173414,-1.004791324173414,-0.08581750391618552
M4A,-9.051807752850962e-06,0.0001443306330544528,9.365273001402853e-07,-1.004791324173414,-1.004349384832683,-0.08581683285812312
M4B,-9.051807752850962e-06,0.0001443306330544528,9.365273001402853e-07,-1.004791324173414,-1.004349384832683,-0.08581683285812312
M5,3.620806096129334e-05,0.0005965231031856022,4.159688262222584e-05,0.6579489440915688,0.1342130874930398,0.09854173817691872
M6,8.536908822182708e-05,0.0008434326179992318,9.62592672814561e-06,0.7956506151673173,0.8000064964280514,0.1606085687059221
M7A,-4.668457597688551e-05,0.0004875929585792529,1.773705622768829e-06,-1.16724668807448,-0.9999935035719486,-0.1650443025134784
M7B,-4.668457597688551e-05,0.0004875929585792529,1.773705622768829e-06,-1.16724668807448,-0.9999935035719486,-0.1650443025134784
