 frequency              r_VOUT                 i_VOUT                
 1.000000000000000e+00  1.125685539196071e+00  1.789553479636515e-06 
 1.019373485938873e+00  1.125685539196222e+00  1.713563520738450e-06 
 1.039122303835169e+00  1.125685539196364e+00  1.638204493642421e-06 
 1.059253725177289e+00  1.125685539196499e+00  1.563448651255204e-06 
 1.079775162327710e+00  1.125685539196626e+00  1.489268468575374e-06 
 1.100694171252210e+00  1.125685539196744e+00  1.415636632558644e-06 
 1.122018454301964e+00  1.125685539196853e+00  1.342526032061236e-06 
 1.143755863049539e+00  1.125685539196954e+00  1.269909747857599e-06 
 1.165914401179832e+00  1.125685539197048e+00  1.197761042728778e-06 
 1.188502227437019e+00  1.125685539197134e+00  1.126053351617808e-06 
 1.211527658628589e+00  1.125685539197212e+00  1.054760271848504e-06 
 1.234999172687586e+00  1.125685539197283e+00  9.838555534040142e-07 
 1.258925411794168e+00  1.125685539197348e+00  9.133130892616157e-07 
 1.283315185557652e+00  1.125685539197404e+00  8.431069057801334e-07 
 1.308177474260195e+00  1.125685539197453e+00  7.732111531364805e-07 
 1.333521432163325e+00  1.125685539197496e+00  7.036000958077971e-07 
 1.359356390878527e+00  1.125685539197531e+00  6.342481030956505e-07 
 1.385691862803129e+00  1.125685539197560e+00  5.651296396888617e-07 
 1.412537544622755e+00  1.125685539197583e+00  4.962192562614241e-07 
 1.439903320881634e+00  1.125685539197596e+00  4.274915801021053e-07 
 1.467799267622071e+00  1.125685539197604e+00  3.589213057722448e-07 
 1.496235656094435e+00  1.125685539197607e+00  2.904831857883246e-07 
 1.525222956539020e+00  1.125685539197601e+00  2.221520213258812e-07 
 1.554771842041175e+00  1.125685539197589e+00  1.539026529413305e-07 
 1.584893192461115e+00  1.125685539197570e+00  8.570995130829797e-08 
 1.615598098439875e+00  1.125685539197544e+00  1.754880796502851e-08 
 1.646897865482870e+00  1.125685539197511e+00 -5.060587393051152e-08 
 1.678804018122562e+00  1.125685539197472e+00 -1.187791888412612e-07 
 1.711328304161782e+00  1.125685539197424e+00 -1.869962380908059e-07 
 1.744482698999256e+00  1.125685539197370e+00 -2.552821391056621e-07 
 1.778279410038925e+00  1.125685539197310e+00 -3.236620346634715e-07 
 1.812730881184701e+00  1.125685539197242e+00 -3.921611021505419e-07 
 1.847849797422293e+00  1.125685539197167e+00 -4.608045628321263e-07 
 1.883649089489803e+00  1.125685539197084e+00 -5.296176911388563e-07 
 1.920141938638804e+00  1.125685539196994e+00 -5.986258239727616e-07 
 1.957341781487663e+00  1.125685539196895e+00 -6.678543700362737e-07 
 1.995262314968882e+00  1.125685539196789e+00 -7.373288191876856e-07 
 2.033917501372295e+00  1.125685539196674e+00 -8.070747518264768e-07 
 2.073321573485958e+00  1.125685539196551e+00 -8.771178483119828e-07 
 2.113489039836649e+00  1.125685539196421e+00 -9.474838984188783e-07 
 2.154434690031886e+00  1.125685539196280e+00 -1.018198810832917e-06 
 2.196173600205439e+00  1.125685539196133e+00 -1.089288622690505e-06 
 2.238721138568343e+00  1.125685539195976e+00 -1.160779509165510e-06 
 2.282092971067454e+00  1.125685539195810e+00 -1.232697793106945e-06 
