device,ids,gm,gds,vgs,vds,vdsat
M8,-9.999998820817449e-06,0.0001020060154098754,3.364582216767255e-07,-1.16724668807448,-1.16724668807448,-0.1697032387080531
M9,-9.991455090098753e-06,0.0001019238855917208,3.417718766349632e-07,-1.16724668807448,-1.142051055908431,-0.1696953444088251
M10,9.991455574786466e-06,0.0001727560309578963,1.03621407889318e-06,0.6579489440915688,0.6579489440915688,0.09235519778443227
M1,1.810444457300641e-05,0.0003647419856007551,3.489179541303044e-06,0.665793408935014,0.6609955883335429,0.07279785224589938
M2,1.81036168452922e-05,0.0003647278183039978,3.488006040583129e-06,0.665786912506959,0.6614375276742762,0.07279533199593922
M3A,-9.052221615733693e-06,0.0001443367007987967,9.364124800302996e-07,-1.004791324173416,-1.004791324173416,-0.08581750391618663
M3B,-9.052221615733693e-06,0.0001443367007987967,9.364124800302996e-07,-1.004791324173416,-1.004791324173416,-0.08581750391618663
M4A,-9.05180775285122e-06,0.0001443306330544564,9.365273001403093e-07,-1.004791324173416,-1.004349384832683,-0.08581683285812425
M4B,-9.05180775285122e-06,0.0001443306330544564,9.365273001403093e-07,-1.004791324173416,-1.004349384832683,-0.08581683285812425
M5,3.620806096129338e-05,0.0005965231031856034,4.15968826222247e-05,0.6579489440915688,0.1342130874930411,0.09854173817691872
M6,8.53690882218271e-05,0.0008434326179992321,9.625926728145578e-06,0.7956506151673173,0.8000064964280551,0.1606085687059221
M7A,-4.66845759768855e-05,0.0004875929585792528,1.773705622768834e-06,-1.16724668807448,-0.9999935035719449,-0.1650443025134784
M7B,-4.66845759768855e-05,0.0004875929585792528,1.773705622768834e-06,-1.16724668807448,-0.9999935035719449,-0.1650443025134784
