 frequency              onoise_spectrum       
 1.000000000000000e+01  5.237086618034186e-06 
 1.059253725177289e+01  5.111992173488355e-06 
 1.122018454301963e+01  4.989886009092221e-06 
 1.188502227437018e+01  4.870696746131294e-06 
 1.258925411794167e+01  4.754354711002951e-06 
 1.333521432163324e+01  4.640791894487845e-06 
 1.412537544622754e+01  4.529941911994243e-06 
 1.496235656094433e+01  4.421739964752066e-06 
 1.584893192461113e+01  4.316122801933939e-06 
 1.678804018122560e+01  4.213028683681115e-06 
 1.778279410038923e+01  4.112397345012647e-06 
 1.883649089489801e+01  4.014169960596715e-06 
 1.995262314968880e+01  3.918289110363545e-06 
 2.113489039836647e+01  3.824698745939752e-06 
 2.238721138568340e+01  3.733344157884553e-06 
 2.371373705661656e+01  3.644171943708666e-06 
 2.511886431509580e+01  3.557129976657191e-06 
 2.660725059798810e+01  3.472167375238250e-06 
 2.818382931264454e+01  3.389234473479559e-06 
 2.985382618917960e+01  3.308282791895543e-06 
 3.162277660168380e+01  3.229265009148027e-06 
 3.349654391578277e+01  3.152134934383942e-06 
 3.548133892335755e+01  3.076847480233860e-06 
 3.758374042884442e+01  3.003358636455595e-06 
 3.981071705534973e+01  2.931625444207444e-06 
 4.216965034285823e+01  2.861605970936039e-06 
 4.466835921509632e+01  2.793259285864130e-06 
 4.731512589614806e+01  2.726545436063965e-06 
 5.011872336272724e+01  2.661425423102286e-06 
 5.308844442309886e+01  2.597861180243286e-06 
 5.623413251903493e+01  2.535815550196201e-06 
 5.956621435290107e+01  2.475252263394522e-06 
 6.309573444801935e+01  2.416135916793816e-06 
 6.683439175686149e+01  2.358431953177748e-06 
 7.079457843841382e+01  2.302106640955175e-06 
 7.498942093324561e+01  2.247127054443252e-06 
 7.943282347242818e+01  2.193461054619947e-06 
 8.413951416451954e+01  2.141077270336738e-06 
 8.912509381337459e+01  2.089945079980189e-06 
 9.440608762859237e+01  2.040034593571666e-06 
 1.000000000000000e+02  1.991316635294467e-06 
 1.059253725177289e+02  1.943762726439805e-06 
 1.122018454301964e+02  1.897345068757380e-06 
 1.188502227437019e+02  1.852036528207170e-06 
 1.258925411794168e+02  1.807810619096767e-06 
 1.333521432163325e+02  1.764641488599079e-06 
 1.412537544622755e+02  1.722503901640533e-06 
 1.496235656094434e+02  1.681373226147832e-06 
 1.584893192461114e+02  1.641225418650837e-06 
 1.678804018122561e+02  1.602037010225719e-06 
 1.778279410038924e+02  1.563785092777457e-06 
 1.883649089489801e+02  1.526447305647748e-06 
 1.995262314968880e+02  1.490001822543733e-06 
 2.113489039836648e+02  1.454427338778907e-06 
 2.238721138568341e+02  1.419703058819738e-06 
 2.371373705661656e+02  1.385808684129443e-06 
 2.511886431509581e+02  1.352724401300761e-06 
 2.660725059798811e+02  1.320430870474880e-06 
 2.818382931264455e+02  1.288909214036018e-06 
 2.985382618917961e+02  1.258141005575254e-06 
 3.162277660168381e+02  1.228108259120095e-06 
 3.349654391578279e+02  1.198793418619438e-06 
 3.548133892335757e+02  1.170179347681439e-06 
 3.758374042884444e+02  1.142249319556045e-06 
 3.981071705534974e+02  1.114987007356437e-06 
 4.216965034285824e+02  1.088376474515640e-06 
 4.466835921509633e+02  1.062402165469476e-06 
 4.731512589614807e+02  1.037048896563860e-06 
 5.011872336272725e+02  1.012301847178683e-06 
 5.308844442309885e+02  9.881465510635039e-07 
 5.623413251903493e+02  9.645688878815105e-07 
 5.956621435290107e+02  9.415550749548589e-07 
 6.309573444801935e+02  9.190916592070846e-07 
 6.683439175686149e+02  8.971655092989095e-07 
 7.079457843841382e+02  8.757638079521234e-07 
 7.498942093324561e+02  8.548740444564500e-07 
 7.943282347242817e+02  8.344840073558082e-07 
 8.413951416451954e+02  8.145817773094773e-07 
 8.912509381337459e+02  7.951557201243359e-07 
 9.440608762859238e+02  7.761944799531155e-07 
 1.000000000000000e+03  7.576869726560094e-07 
 1.059253725177289e+03  7.396223793204603e-07 
 1.122018454301964e+03  7.219901399363858e-07 
 1.188502227437019e+03  7.047799472223392e-07 
 1.258925411794168e+03  6.879817405999559e-07 
 1.333521432163325e+03  6.715857003116230e-07 
 1.412537544622755e+03  6.555822416800286e-07 
 1.496235656094434e+03  6.399620095037901e-07 
 1.584893192461114e+03  6.247158725882412e-07 
 1.678804018122562e+03  6.098349184067449e-07 
