 frequency                onoise_spectrum         
 1.00000000000000000e+01  5.23708661803380822e-06 
 1.05925372517728889e+01  5.11199217348798735e-06 
 1.12201845430196343e+01  4.98988600909186140e-06 
 1.18850222743701845e+01  4.87069674613094416e-06 
 1.25892541179416728e+01  4.75435471100260917e-06 
 1.33352143216332415e+01  4.64079189448751079e-06 
 1.41253754462275438e+01  4.52994191199391663e-06 
 1.49623565609443343e+01  4.42173996475174775e-06 
 1.58489319246111346e+01  4.31612280193363029e-06 
 1.67880401812256039e+01  4.21302868368081302e-06 
 1.77827941003892285e+01  4.11239734501234954e-06 
 1.88364908948980059e+01  4.01416996059642546e-06 
 1.99526231496887974e+01  3.91828911036326270e-06 
 2.11348903983664691e+01  3.82469874593947642e-06 
 2.23872113856833970e+01  3.73334415788428534e-06 
 2.37137370566165551e+01  3.64417194370840389e-06 
 2.51188643150958022e+01  3.55712997665693430e-06 
 2.66072505979880987e+01  3.47216737523799964e-06 
 2.81838293126445407e+01  3.38923447347931402e-06 
 2.98538261891795997e+01  3.30828279189530460e-06 
 3.16227766016837961e+01  3.22926500914779387e-06 
 3.34965439157827660e+01  3.15213493438371540e-06 
 3.54813389233575478e+01  3.07684748023363815e-06 
 3.75837404288444219e+01  3.00335863645537867e-06 
 3.98107170553497340e+01  2.93162544420723253e-06 
 4.21696503428582332e+01  2.86160597093583387e-06 
 4.46683592150963236e+01  2.79325928586392873e-06 
 4.73151258961480607e+01  2.72654543606376859e-06 
 5.01187233627272448e+01  2.66142542310209462e-06 
 5.30884444230988564e+01  2.59786118024309966e-06 
 5.62341325190349295e+01  2.53581555019601804e-06 
 5.95662143529010706e+01  2.47525226339434295e-06 
 6.30957344480193498e+01  2.41613591679364180e-06 
 6.68343917568614927e+01  2.35843195317757825e-06 
 7.07945784384138221e+01  2.30210664095500921e-06 
 7.49894209332456114e+01  2.24712705444309028e-06 
 7.94328234724281828e+01  2.19346105461978906e-06 
 8.41395141645195395e+01  2.14107727033658384e-06 
 8.91250938133745905e+01  2.08994507998003855e-06 
 9.44060876285923740e+01  2.04003459357151978e-06 
 1.00000000000000043e+02  1.99131663529446146e-06 
 1.05925372517728931e+02  1.94376272643980028e-06 
 1.12201845430196386e+02  1.89734506875750605e-06 
 1.18850222743701892e+02  1.85203652820729285e-06 
 1.25892541179416767e+02  1.80781061909676161e-06 
 1.33352143216332450e+02  1.76464148859907374e-06 
 1.41253754462275481e+02  1.72250390164052831e-06 
 1.49623565609443403e+02  1.68137322614782713e-06 
 1.58489319246111421e+02  1.64122541865083252e-06 
 1.67880401812256110e+02  1.60203701022571424e-06 
 1.77827941003892363e+02  1.56378509277767036e-06 
 1.88364908948980144e+02  1.52644730564763851e-06 
 1.99526231496888045e+02  1.49000182254362592e-06 
 2.11348903983664769e+02  1.45442733877880282e-06 
 2.23872113856834062e+02  1.41970305881993045e-06 
 2.37137370566165629e+02  1.38580868412943901e-06 
 2.51188643150958114e+02  1.35272440130075756e-06 
 2.66072505979881100e+02  1.32043087047487574e-06 
 2.81838293126445535e+02  1.28890921403592523e-06 
 2.98538261891796139e+02  1.25814100557533830e-06 
 3.16227766016838132e+02  1.22810825912009142e-06 
 3.34965439157827859e+02  1.19879341861935125e-06 
 3.54813389233575663e+02  1.17017934768159786e-06 
 3.75837404288444361e+02  1.14224931955604189e-06 
 3.98107170553497440e+02  1.11498700735643411e-06 
 4.21696503428582446e+02  1.08837647451556167e-06 
 4.46683592150963307e+02  1.06240216546947363e-06 
 4.73151258961480664e+02  1.03704889656385681e-06 
 5.01187233627272462e+02  1.01230184717860966e-06 
 5.30884444230988493e+02  9.88146551063501107e-07 
 5.62341325190349266e+02  9.64568887881641178e-07 
 5.95662143529010677e+02  9.41555074954856105e-07 
 6.30957344480193456e+02  9.19091659207081598e-07 
 6.68343917568614870e+02  8.97165509298906804e-07 
 7.07945784384138165e+02  8.75763807952120772e-07 
 7.49894209332456057e+02  8.54874044456566041e-07 
 7.94328234724281742e+02  8.34484007355805741e-07 
 8.41395141645195395e+02  8.14581777309475101e-07 
 8.91250938133745876e+02  7.95155720124278600e-07 
 9.44060876285923769e+02  7.76194479953113195e-07 
 1.00000000000000045e+03  7.57686972656007144e-07 
 1.05925372517728943e+03  7.39622379320458136e-07 
 1.12201845430196408e+03  7.21990139936333774e-07 
 1.18850222743701920e+03  7.04779947222337157e-07 
 1.25892541179416799e+03  6.87981740599953816e-07 
 1.33352143216332479e+03  6.71585700311713802e-07 
 1.41253754462275515e+03  6.55582241680026612e-07 
 1.49623565609443426e+03  6.39962009503788148e-07 
 1.58489319246111450e+03  6.24715872588282705e-07 
 1.67880401812256150e+03  6.09834918406743211e-07 
 1.77827941003892397e+03  5.95310447889285315e-07 
 1.88364908948980178e+03  5.81133970336305132e-07 
 1.99526231496888090e+03  5.67297198454498032e-07 
 2.11348903983664832e+03  5.53792043510412350e-07 
 2.23872113856834130e+03  5.40610610600923935e-07 
 2.37137370566165691e+03  5.27745194036684025e-07 
 2.51188643150958205e+03  5.15188272835833876e-07 
 2.66072505979881180e+03  5.02932506325967980e-07 
 2.81838293126445615e+03  4.90970729850548722e-07 
 2.98538261891796219e+03  4.79295950579373219e-07 
 3.16227766016838223e+03  4.67901343417958987e-07 
 3.34965439157827950e+03  4.56780247015882332e-07 
 3.54813389233575754e+03  4.45926159869818464e-07 
 3.75837404288444486e+03  4.35332736520696980e-07 
 3.98107170553497599e+03  4.24993783840857290e-07 
 4.21696503428582582e+03  4.14903257410903252e-07 
 4.46683592150963432e+03  4.05055257982834671e-07 
 4.73151258961480835e+03  3.95444028027759863e-07 
 5.01187233627272690e+03  3.86063948366347181e-07 
 5.30884444230988811e+03  3.76909534879706510e-07 
 5.62341325190349562e+03  3.67975435298983732e-07 
 5.95662143529010973e+03  3.59256426071630037e-07 
 6.30957344480193751e+03  3.50747409302499036e-07 
 6.68343917568615143e+03  3.42443409768172664e-07 
 7.07945784384138460e+03  3.34339572002531885e-07 
 7.49894209332456376e+03  3.26431157451524419e-07 
 7.94328234724282083e+03  3.18713541696282477e-07 
 8.41395141645195690e+03  3.11182211742207046e-07 
 8.91250938133746240e+03  3.03832763372532137e-07 
 9.44060876285924132e+03  2.96660898564819131e-07 
 1.00000000000000073e+04  2.89662422969371781e-07 
 1.05925372517728974e+04  2.82833243446838848e-07 
 1.12201845430196445e+04  2.76169365664713331e-07 
 1.18850222743701943e+04  2.69666891750635837e-07 
 1.25892541179416821e+04  2.63322018001219906e-07 
 1.33352143216332515e+04  2.57131032644928198e-07 
 1.41253754462275556e+04  2.51090313657913655e-07 
 1.49623565609443467e+04  2.45196326630984924e-07 
 1.58489319246111481e+04  2.39445622686747252e-07 
 1.67880401812256168e+04  2.33834836445702745e-07 
 1.77827941003892411e+04  2.28360684039529950e-07 
 1.88364908948980192e+04  2.23019961170756931e-07 
 1.99526231496888104e+04  2.17809541217602280e-07 
 2.11348903983664823e+04  2.12726373382348447e-07 
 2.23872113856834112e+04  2.07767480882498195e-07 
 2.37137370566165700e+04  2.02929959183157655e-07 
 2.51188643150958196e+04  1.98210974270066435e-07 
 2.66072505979881171e+04  1.93607760961332842e-07 
 2.81838293126445606e+04  1.89117621257305225e-07 
 2.98538261891796210e+04  1.84737922727476581e-07 
 3.16227766016838214e+04  1.80466096932942047e-07 
 3.34965439157827932e+04  1.76299637883563828e-07 
 3.54813389233575726e+04  1.72236100528775458e-07 
 3.75837404288444450e+04  1.68273099280867446e-07 
 3.98107170553497563e+04  1.64408306569672747e-07 
 4.21696503428582582e+04  1.60639451427544812e-07 
 4.46683592150963450e+04  1.56964318103901843e-07 
 4.73151258961480853e+04  1.53380744707511414e-07 
 5.01187233627272653e+04  1.49886621876506914e-07 
 5.30884444230988738e+04  1.46479891474006387e-07 
 5.62341325190349526e+04  1.43158545309247661e-07 
 5.95662143529010937e+04  1.39920623882202187e-07 
 6.30957344480193788e+04  1.36764215151509503e-07 
 6.68343917568615143e+04  1.33687453323941610e-07 
 7.07945784384138533e+04  1.30688517664763456e-07 
 7.49894209332456521e+04  1.27765631327593796e-07 
 7.94328234724282229e+04  1.24917060202803152e-07 
 8.41395141645195836e+04  1.22141111783236848e-07 
 8.91250938133746386e+04  1.19436134046150955e-07 
 9.44060876285924314e+04  1.16800514350110916e-07 
 1.00000000000000102e+05  1.14232678345767516e-07 
 1.05925372517729003e+05  1.11731088898961769e-07 
 1.12201845430196467e+05  1.09294245025351088e-07 
 1.18850222743701976e+05  1.06920680834783447e-07 
 1.25892541179416861e+05  1.04608964484267988e-07 
 1.33352143216332566e+05  1.02357697138080448e-07 
 1.41253754462275596e+05  1.00165511933465008e-07 
 1.49623565609443525e+05  9.80310729505376298e-08 
 1.58489319246111554e+05  9.59530741844108941e-08 
 1.67880401812256256e+05  9.39302385182305706e-08 
 1.77827941003892513e+05  9.19613166948876123e-08 
 1.88364908948980301e+05  9.00450862858507011e-08 
 1.99526231496888213e+05  8.81803506546953613e-08 
 2.11348903983664961e+05  8.63659379133070719e-08 
 2.23872113856834272e+05  8.46006998683475232e-08 
 2.37137370566165861e+05  8.28835109553307142e-08 
 2.51188643150958378e+05  8.12132671575632058e-08 
 2.66072505979881331e+05  7.95888849070666604e-08 
 2.81838293126445787e+05  7.80092999638966469e-08 
 2.98538261891796370e+05  7.64734662706532274e-08 
 3.16227766016838374e+05  7.49803547780380381e-08 
 3.34965439157828107e+05  7.35289522373333849e-08 
